iter	RMSE
349	53.01457629
350	52.98592891
351	52.97313207
352	52.94671795
353	52.90611116
354	52.86252318
355	52.83660381
356	52.79664856
357	52.77181265
358	52.71417672
359	52.67006054
360	52.65681631
361	52.63394793
362	52.59280303
363	52.53870441
364	52.50505222
365	52.48752296
366	52.46491602
367	52.4309664
368	52.40025266
369	52.37248548
370	52.35322166
371	52.30730804
372	52.28806471
373	52.232079
374	52.20386163
375	52.15048764
376	52.1202724
377	52.0883998
378	52.05855513
379	52.03915517
380	52.0140266
381	51.92909046
382	51.91223578
383	51.87162802
384	51.85320491
385	51.81530234
386	51.79037224
387	51.74913591
388	51.71127919
389	51.68408824
390	51.65871167
391	51.63687847
392	51.60500483
393	51.56034649
394	51.52436572
395	51.48741611
396	51.45863144
397	51.43649408
398	51.40815951
399	51.38379044
400	51.36095359
401	51.33887985
402	51.29553586
403	51.27599766
404	51.24899722
405	51.22450319
406	51.20302544
407	51.16412968
408	51.11261767
409	51.07358939
410	51.05555113
411	51.0208589
412	51.00431719
413	50.97752998
414	50.94743446
415	50.92318023
416	50.8933823
417	50.86919276
418	50.82840214
419	50.80032329
420	50.78562523
421	50.76398904
422	50.74801584
423	50.7149077
424	50.66754123
425	50.64792846
426	50.63515406
427	50.61253932
428	50.5877119
429	50.56667911
430	50.544786
431	50.5282124
432	50.5171856
433	50.49648045
434	50.47276383
435	50.45420406
436	50.43629229
437	50.4107495
438	50.36853484
439	50.32842642
440	50.29677616
441	50.28385482
442	50.2458072
443	50.22137411
444	50.19996933
445	50.17376681
446	50.15512894
447	50.13865748
448	50.12537917
449	50.11021993
450	50.07110838
451	50.05428266
452	50.02767979
453	50.00565852
454	49.98667664
455	49.96471343
456	49.93703478
457	49.92200076
458	49.90523976
459	49.88523823
460	49.82290408
461	49.79838641
462	49.78079701
463	49.75563328
464	49.7380214
465	49.72501907
466	49.7011829
467	49.68089679
468	49.6646006
469	49.64179751
470	49.62326832
471	49.59891069
472	49.5676078
473	49.55073436
474	49.51843157
475	49.5011945
476	49.47226928
477	49.43246808
478	49.40926378
479	49.3909767
480	49.37459317
481	49.34323991
482	49.32576233
483	49.30726172
484	49.28629949
485	49.27281597
486	49.24792197
487	49.23634816
488	49.22156026
489	49.20658165
490	49.1906694
491	49.17750029
492	49.1665296
493	49.15019559
494	49.13810972
495	49.11572475
496	49.09623812
497	49.07440628
498	49.05635002
499	49.03138102
500	48.99786436
501	48.98201879
502	48.9604923
503	48.94325206
504	48.92147151
505	48.89797158
506	48.88816459
507	48.85218531
508	48.84120351
509	48.81541879
510	48.7613554
511	48.73716944
